epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2788,1.32021,3.32754,1.39531,0.40793,0.37021,0.45575,0.29884,1.37051,5.43777,1.51183,0.000474556,0.000474556,0.000474556
2,95.2617,1.34763,2.38111,1.42579,0.48783,0.45665,0.4417,0.28987,1.42836,2.97949,1.52688,0.00090382,0.00090382,0.00090382
3,139.13,1.34049,2.03974,1.42515,0.56637,0.58991,0.5862,0.37699,1.32001,2.12882,1.47694,0.00128593,0.00128593,0.00128593
4,182.442,1.34986,1.84278,1.41949,0.61128,0.60197,0.65503,0.44052,1.28606,1.86188,1.4235,0.00121679,0.00121679,0.00121679
5,228.153,1.2943,1.69044,1.38558,0.67844,0.6351,0.68413,0.49145,1.22177,1.48042,1.41287,0.00114606,0.00114606,0.00114606
6,272.375,1.22525,1.54369,1.33889,0.70311,0.67151,0.7419,0.52267,1.19461,1.31766,1.37703,0.00107532,0.00107532,0.00107532
7,317.532,1.25692,1.49099,1.35738,0.72501,0.74832,0.79608,0.56514,1.13992,1.16633,1.29643,0.00100459,0.00100459,0.00100459
8,362.687,1.18579,1.35018,1.32198,0.77295,0.70373,0.77128,0.54322,1.16245,1.20354,1.34891,0.000933851,0.000933851,0.000933851
9,409.749,1.19419,1.30993,1.31274,0.80509,0.70928,0.80014,0.56806,1.10265,1.14465,1.28863,0.000863116,0.000863116,0.000863116
10,454.67,1.14698,1.24983,1.28864,0.77471,0.80223,0.83046,0.6143,1.07918,1.03987,1.27334,0.00079238,0.00079238,0.00079238
11,500.042,1.05024,1.12879,1.24411,0.77526,0.74821,0.8289,0.60358,1.04851,1.06938,1.28244,0.000721645,0.000721645,0.000721645
12,542.763,1.00926,1.01131,1.21117,0.80884,0.77914,0.84754,0.61853,1.04341,1.01995,1.27348,0.000650909,0.000650909,0.000650909
13,587.033,0.98093,0.95297,1.197,0.85417,0.79218,0.86884,0.6387,1.02802,0.91699,1.233,0.000580174,0.000580174,0.000580174
14,629.818,0.94726,0.89971,1.16155,0.83805,0.80688,0.86305,0.64858,0.99803,0.87933,1.21029,0.000509438,0.000509438,0.000509438
15,672.014,0.92365,0.83462,1.15546,0.82929,0.81921,0.88362,0.66874,1.00309,0.84228,1.24509,0.000438703,0.000438703,0.000438703
16,714.862,0.8903,0.8122,1.13101,0.84979,0.8271,0.89417,0.66638,1.03057,0.81791,1.24709,0.000367967,0.000367967,0.000367967
17,758.738,0.88307,0.76614,1.12115,0.84634,0.8371,0.88577,0.67344,1.01195,0.82278,1.24666,0.000297232,0.000297232,0.000297232
18,800.733,0.84025,0.70497,1.09094,0.87809,0.83298,0.8957,0.67918,1.01198,0.78868,1.24133,0.000226497,0.000226497,0.000226497
19,843.032,0.82986,0.69042,1.08622,0.90896,0.83513,0.90078,0.68629,0.97648,0.7725,1.21078,0.000155761,0.000155761,0.000155761
20,886.623,0.80296,0.64164,1.07152,0.89739,0.83559,0.90285,0.6903,0.96348,0.7529,1.20779,8.50255e-05,8.50255e-05,8.50255e-05
